,classification
TRANSPORT PROTEIN/inhibitor,3
mucin-binding protein,3
signaling protein/antibiotic,3
SWEET PROTEIN,3
CELL CYCLE/CELL CYCLE INHIBITOR,3
MOTILITY,3
DRUG-BINDING PROTEIN,3
transport protein/transferase,3
Penicillin-binding protein/inhibitor,3
POLYMERASE,3
MEMBRANE PROTEINS/INHIBITOR,3
SLIDING CLAMP,3
"fluorescent protein, de novo protein",3
ANTIBODY/ANTIGEN,3
CHAPERONE/CELL INVASION,3
COMPLEX(ANTIBODY/HIV-1 FRAGMENT),3
VIRUS COAT PROTEIN,3
ACETYLTRANSFERASE,3
CYTOSKELETAL PROTEIN,3
COMPLEX (IMMUNOGLOBULIN/AUTOANTIGEN),3
KINASE/INHIBITOR,3
Immune system/peptide,3
HYDROLASE (ACTING IN CYCLIC AMIDES),3
membrane protein/agonist,3
DNA REPLICATION INITIATION,3
COMPLEX (ANTIBODY/ELECTRON TRANSPORT),3
"Cytokine,  HORMONE/GROWTH FACTOR",3
CELL CYCLE INHIBITOR,3
"OXIDOREDUCTASE, TOXIN",3
STRUCTURE FROM CYANA 3.97,3
Lyase Activator,3
MOTOR PROTEIN/Transport Protein,3
"SIGNALING PROTEIN,MEMBRANE PROTEIN",3
CONTRACTILE PROTEIN/METAL BINDING,3
MURINE CLASS I MHC/PEPTIDE COMPLEX,3
NUCLEOTIDE-BINDING,3
cell adhesion/cell cycle,3
"Structural Genomics, De Novo Protein",3
SERINE/THREONINE-PROTEIN KINASE,3
POTASSIUM CHANNEL,3
Serine protease inhibitor,3
"electron transport, membrane protein",3
"Membrane Protein, Signaling Protein",3
"OXIDOREDUCTASE, HYDROLASE",3
TRANSPORT PROTEIN/TRANSPORT PROTEIN INHIBITOR,3
OXIDOREDUCTASE/ELECTRON TRANSFER,3
"STRUCTURAL GENOMICS,   UNKNOWN FUNCTION",3
PROTEIN BINDING/Cell Adhesion,3
CHAPERONE/SURFACE ACTIVE PROTEIN,3
SIGNALING PROTEIN/inhibitor,3
TRNA-MODIFYING ENZYME,3
THIOL PROTEASE INHIBITOR,3
COAGULATION,3
DEOXYRIBONUCLEASE,3
3-EPIMERASE,3
MRNA PROCESSING,3
PLANT TOXIN,3
"ONCOPROTEIN, VIRUS/VIRAL PROTEIN",3
Immune system/hydrolase,3
COMPLEX (POLYMERASE/INHIBITOR),3
TOXIN/CELL ADHESION,3
PERIPLASMIC,3
COMPLEX (PROTEINASE-INHIBITOR),3
ISOPRENOID SYNTHASE,3
Immune System/hydrolase,3
PEPTIDE BINDING PROTEIN/IMMUNE SYSTEM,3
"BLOOD CLOTTING, HYDROLASE INHIBITOR",3
Hydrolase/SIGNALING PROTEIN,3
TRANSPOSASE,3
solute-binding protein,3
PHOSPHOTRIESTERASE,3
"HYDROLASE, BLOOD CLOTTING, TOXIN",3
COMPLEX (ANTIBODY/PEPTIDE EPITOPE),3
VIRAL PROTEIN/TRANSPORT PROTEIN,3
Hydrolase/Hydrolase Inbititor,3
HYDROLASE(XYLAN DEGRADATION),3
STEROID BINDING,3
HEXOKINASE,3
CARTENOID BINDING PROTEIN,3
OXIDOREDUCTASE/OXIDOREDUCATSE INHIBITOR,3
Transport protein/Immune System,3
CRYSTALLIN,3
TRANSFERASE/APOPTOSIS/IMMUNE SYSTEM,3
peptide release factor 1,3
TOXIN/BLOOD CLOTTING,3
TRANSCRIPTION INHIBITOR/TRANSCRIPTION,3
MUCONATE CYCLOISOMERASE,3
STRUCTURAL PROTEIN/Protein binding,3
"STRUCTURAL GENOMICS,BIOSYNTHETIC PROTEIN",3
LIGASE(SYNTHETASE),3
Hydrolase/inhibitor,3
IMMUNE SYSTEM/ VIRAL PROTEIN,3
"TRANSPORT PROTEIN, RNA BINDING PROTEIN",3
"hydrolase, toxin",3
POLYKETIDE SYNTHASE,3
"Isomerase, TRANSFERASE",3
"Signaling protein, immune system",3
IMMUNORECEPTOR,3
"Peptide binding protein, hormone",3
"LIPID BINDING PROTEIN,TRANSFERASE",3
transport protein/viral protein,3
"tranport protein, viral protein",3
"TRANSFERASE,CELL ADHESION",3
DE NOVO PROTEIN DESIGN,3
INTEGRASE,3
CELL CYCLE/LIGASE/PROTEIN TURNOVER,3
Transferase/protein binding,3
COMPLEMENT FACTOR,3
COMPLEX (THIAZOLIDINEDIONE/RECEPTOR),3
IMMUNE SYSTEM/Ligase,3
"TRANSFERASE, TRANSPORT PROTEIN",3
ligase/nuclear protein,3
BIOTIN-BINDING PROTEIN/PEPTIDE,3
COMPLEX (HYDROLASE/ISOMERASE),3
Viral protein/IMMUNE SYSTEM,3
ISOMERASE/SUBSTRATE,3
"SIGNALING PROTEIN, LIPID BINDING PROTEIN",3
"TRANSFERASE, STRUCTURAL PROTEIN, SIGNALING PROTEIN",3
"TRANSFERASE, TOXIN",3
ISOMERASE(PEPTIDYL-PROLYL CIS-TRANS),3
"ANTIMICROBIAL PROTEIN, ANTIBIOTIC",3
STAPHYLOCOCCAL ENTEROTOXIN,3
TRANSPEPTIDASE,3
Ligase / protein binding,3
Hormone-binding protein,3
BINDING PROTEIN(GTP),3
Cell cycle/Cell cycle/Cell cycle,3
MEMBRANE PROTEIN/chaperon,3
METALLOPROTEINASE,3
HYBRID PROTEIN,3
TOXIN/CHAPERONE,3
HEMOPROTEIN,3
"HYDROLASE,DNA binding protein",3
viral protein/Immune system,3
COMPLEX (MYRISTYLATION/TRANSFERASE),3
"HYDROLASE,VIRAL PROTEIN",3
HYDROLASE(CARBOXYPEPTIDASE),3
COMPLEX (BLOOD COAGULATION/INHIBITOR),3
PEPTIDOGLYCAN SYNTHESIS,3
"STRUCTURAL PROTEIN, BLOOD CLOTTING",3
lipid transport/activator,3
OXIDOREDUCTASE/peptide,3
Lyase/Lyase/Signaling protein,3
ACETYLCHOLINE RECEPTOR ANTAGONIST,3
FLAVOPROTEIN/TRANSCRIPTION,3
PROTEIN FIBRIL/Immune System,3
IMMUNE SYSTEM/VIRAL SYSTEM,3
ligase/ ligase inhibitor,3
STRUCTURAL GENOMICS UNKNOWN FUNCTION,3
HYDROLASE/RECOMBINATION,3
"RIBOSOMAL PROTEIN, NUCLEAR PROTEIN",3
"BLOOD CLOTTING, SIGNALING PROTEIN",3
NUCLEOTIDYL TRANSFERASE,3
CHAPERONE/STRUCTURAL/MEMBRANE PROTEIN,3
TRANSFERASE/Signaling Protein,3
HEMATOPOIETIC CYTOKINE,3
"CELL ADHESION, SUGAR BINDING PROTEIN",3
Unknown Function/Inhibitor,3
PRO REGION,3
Isomerase/Isomerase Inhibitor complex,3
Viral protein/hydrolase,3
"DE NOVO PROTEIN, PEPTIDE BINDING PROTEIN",3
"RNA BINDING PROTEIN,HYDROLASE",3
PHOSPHOTRANSFERASE SYSTEM,3
Hormone/hormone receptor,3
TRANSPORT PROTEIN/CHAPERONE,3
"LIGASE, HUMAN PROTEIN",3
"OXIDOREDUCTASE, FLAVOPROTEIN",3
"TRANSPORT PROTEIN,LIGAND BINDING PROTEIN",3
"TRANSCRIPTION, ANTITUMOR PROTEIN",3
Cell Cycle/Inhibitor,3
COMPLEX (LYASE/INHIBITOR),3
abscisic acid binding protein,3
HIV-1 ENVELOPE PROTEIN,3
COMPLEMENT REGULATORY PROTEIN,3
COMPLEX (LYASE/HYDROLASE),3
"BLOOD CLOTTING, CELL ADHESION",3
Calcium Binding Protein/Transferase,3
COBALAMIN BIOSYNTHESIS,3
COMPLEX (TRANSMEMBRANE/GLYCOPROTEIN),3
Hydrolase/signaling protein,3
CALCIUM-BINDING PROTEIN/HORMONE RECEPTOR,3
"METAL TRANSPORT,MEMBRANE PROTEIN",3
ALPHA-AMYLASE INHIBITOR,3
metal binding protein/inhibitor,3
Transferase/Immune System,3
HYDROLASE/UNKNOWN FUNCTION,3
Viral protein/Immune System,3
PLANT SEED STORAGE PROTEIN(VICILIN),3
TRANSFERASE/ACTIVATOR,3
COILED-COIL,3
GENE REGULATION/TRANSCRIPTION ACTIVATOR,2
"Transcription regulation, DNA BINDING",2
OXIDOREDUCTASE(OXYGEN ACCEPTOR),2
"Structural Biology, Unknown Function",2
HUMAN ANTITHROMBIN-III,2
HYDROLASE/ HYDROLASE INHIBITOR,2
TRANSCRIPTION/DNA binding Protein,2
rim-binding protein,2
HYDROLASE ACTIVATOR/SIGNALING PROTEIN,2
RIBOTOXIN,2
PROTEIN TRANSPORT/Viral Protein,2
TRANSFERRIN,2
INTERFERON,2
TRANSCRIPTION / TRANSCRIPTION INHIBITOR,2
IMMUNE SYSTEM/DNA,2
ENDODEOXYRIBONUCLEASE,2
METAL BINDING PROTEIN/APOTOSIS,2
ACTIN-BINDING PROTEIN/PROTEIN BINDING,2
Transferase/Transcription Factor,2
CELLULOSOME SUBUNIT,2
ISOMERASE/METAL BINDING PROTEIN,2
Viral Protein/immune System,2
Hydrolase/Hydrloase inhibitor,2
"Antimicrobial protein, Viral protein",2
Penicillin-binding protein,2
"TRANSPORT PROTEIN,IMMUNE SYSTEM,NUCLEAR PROTEIN,RNA BINDING PROTEIN",2
FLUORESCENT PROTEIN/INHIBITOR,2
TOXIN/TOXIN CHAPERONE,2
Phosphate Binding Protein,2
Viral protein/Inhibitor,2
STRUCTURAL PROTEIN/ACTIN-BINDING PROTEIN,2
Transcriptional regulator,2
Penicillin-binding protein/ANTIBIOTIC,2
TRANSFERASE/ANTIBIOTIC/INHIBITOR,2
AMINOHYDROLASE,2
COMPLEX (POLYMERASE/HYDROLASE),2
"RNA-binding Protein, Viral Protein",2
"Hydrolase,Isomerase",2
"TRANSFERASE, HYDROLASE/TRANSLATION",2
Retinol Binding Protein,2
"HYDROLASE, STRUCTURAL PROTEIN",2
CHROMOSOMAL TRANSLOCATION,2
CLATHRIN-BINDING PROTEIN,2
Antibiotic binding protein/antibiotic,2
Phosphopantetheine binding protein,2
phosphopantetheine binding protein,2
PEPTIDE SYNTHETASE,2
COMPLEX (SERINE ESTERASE/TOXIN),2
Transcription/Transferase/Inhibitor,2
Magnetite binding protein,2
"TRANSPORT PROTEIN, HYDROLASE/INHIBITOR",2
Signaling Protein/antagonist,2
PROTEIN TRANSPORT/CELL ADHESION,2
microtubule-binding protein,2
HYDROLASE(CARBOXYLIC ESTER),2
"PROTEIN BINDING, INHIBITOR",2
TRANSFERASE REGULATOR,2
COMPLEX (GTP-BINDING/ATP-BINDING),2
PROTEIN BINDING/ACTIVATOR,2
FATTY ACID BINDING PROTEIN/HYDROLASE,2
TRANSFERASE/CYTOKINE,2
"Transferase, Viral Protein",2
CHAPERONE / INHIBITOR,2
TRANSCRIPTION / STRUCTURAL PROTEIN,2
DETOXIFICATION ENZYME,2
Transport Protein/Viral Protein,2
OXIDOREDUCTASE/oxidoreductase inhibitor,2
"RNA BINDING PROTEIN, HYDROLASE",2
Octopine-binding protein,2
5'-3' EXO/ENDO NUCLEASE,2
SIGNAL TRANSDUCTION ADAPTOR,2
protein binding/Ligase,2
COMPLEX (ISOMERASE/DEOXYADENOSINE),2
SERINE PROTEASE HOMOLOG,2
"TRANSFERASE,TRANSCRIPTION",2
OXIDOREDUCTASE/OXIDOREDUCTASE,2
HISTONE,2
Viral Protein/Immune system,2
DNA BINDING PROTEIN/DNA,2
MANGANESE SUPEROXIDE DISMUTASE,2
CARBOHYDRATE BINDING,2
"oxygen binding,  METAL BINDING PROTEIN",2
carotenoid binding protein,2
TRANSCRIPTIONAL REGULATORY PROTEIN,2
TRANSCRIPTION/OXIDOREDUCTASE,2
COMPLEX (HYDROLASE/CELL WALL),2
ANGIOGENIN,2
hydrolase/inhibitor,2
ACETYLCHOLINE RECEPTOR,2
"MOTOR PROTEIN, PROTEIN TRANSPORT/STRUCTURAL PROTEIN",2
PHOSPHATE BINDING PROTEIN,2
PROGESTERONE RECEPTOR,2
Membrane protein/protein binding,2
"BIOSYNTHETIC PROTEIN,isomerase",2
LIGASE/CHAPERONE,2
BACTERIAL CHEMOTAXIS,2
protein transport/membrane protein,2
GMP BINDING PROTEIN,2
COMPLEX (SKELETAL MUSCLE/MUSCLE PROTEIN),2
"TRANSPORT PROTEIN, CALCIUM BINDING PROTEIN",2
VIRUS/TRANSFERASE,2
PROTEIN BINDING/ NUCLEAR PROTEIN,2
"CHAPERONE, HYDROLASE",2
HIGH DENSITY LIPOPROTEINS,2
Transferase/cell cycle,2
TRANSPORT PROTEIN/APOPTOSIS,2
THIAMINE-BINDING PROTEIN,2
TSE2-BINDING PROTEIN,2
ISOMERASE/Inhibitor,2
"IMMUNE SYSTEM, DE NOVO PROTEIN",2
inositol polyphosphate binding protein,2
Inositol phosphate binding protein,2
PROTEIN BINDING/Antagonist,2
Protein Binding/Antagonist,2
"viral protein, transcription",2
TRANSFERASE/TRANSFERASE INIHIBITOR,2
Chlorophyll binding protein,2
TRANSFERASE (FORMYL),2
TRANSCRIPTION  REGULATOR,2
ECOLI,2
S-LECTIN,2
ALBUMIN-BINDING PROTEIN,2
SECRETION PROTEIN,2
LYASE/IMMUNE SYSTEM,2
"SIGNALING PROTEIN, DE NOVO PROTEIN",2
"cell cycle, hydrolase",2
ELECTRON TRANSPORT(CADMIUM BINDING),2
RHO-GTPASE INHIBITOR,2
PROTEIN TRANSPORT/HYDROGENASE,2
FLAVIN-BINDING PROTEIN,2
"SIGNALING PROTEIN,LIPID BINDING PROTEIN",2
SECRETION,2
"Transport protein, membrane protein",2
"HORMONE, BINDING PROTEIN",2
"HYDROLASE,LYASE",2
MERCURY DETOXIFICATION,2
Transferase/Protein Transport/Inhibitor,2
GLUCOCORTICOID RECEPTOR,2
ANTIVIRAL PROTEIN/VIRAL PROTEIN,2
BIOTIN BIOSYNTHESIS,2
GTPASE ACTIVATION,2
HYBRID CLUSTER,2
ADP-RIBOSE-BINDING PROTEIN,2
Transferase/Cell Cycle/Inhibitor,2
GLUTATHIONE BIOSYNTHESIS LIGASE,2
BASEMENT MEMBRANE,2
LECTIN-BINDING PROTEIN,2
GLYCOSIDASE/CARBOHYDRATE,2
Ligase/Peptide,2
"hydrolase, transferase/inhibitor",2
HYDROLASE/HUDROLASE INHIBITOR,2
"HYDROLASE REGULATOR, DNA BINDING PROTEIN",2
TRANSFERRIN-BINDING PROTEIN,2
"ONCOPROTEIN,UNKNOWN FUNCTION",2
Siderophore binding protein,2
ANTIBODY FAB FRAGMENT,2
RNA-binding protein/HYDROLASE,2
ADAPTOR PROTEIN CONTAINING SH2 AND SH3,2
Chitin-binding protein,2
"TRANSFERASE,ISOMERASE",2
OXIDOREDUCTASE(CHOH (D)-NAD(P)+ (A)),2
RNA BINDING PROTEIN/ANTIMICROBIAL,2
HYDROLASE/HYDROLASE INTHIBITOR,2
MUSCLE CONTRACTION,2
TRANSFERASE/ANTIBOTIC/INHIBITOR,2
LIPID TRANSFER PROTEIN,2
SULFURTRANSFERASE,2
Carbohydrate Binding protein,2
CONTRACTILE PROTEIN/PROTEIN TRANSPORT,2
SIGNALLING PROTEIN/KINASE,2
PEPTIDE HORMONE,2
FLAVIN-DEPENDENT OXIDASE ENZYME,2
"SIGNALING PROTEIN, HORMONE",2
ANTI-COAGULANT,2
CHROMATIN STRUCTURE,2
COMPLEX (APOPTOSIS/PEPTIDE),2
COPPER PROTEIN,2
NON-HEME IRON PROTEIN,2
LIPID TRANSPORT/INHIBITOR,2
CALCIUM-DEPENDENT PROTEASE,2
ACTIN-BINDING PROTEIN/PEPTIDE,2
"Transferase, Signaling Protein",2
"TRANSPORT PROTEIN, NUCLEAR PROTEIN",2
BETA-HAIRPIN,2
Hormone Receptor/Signaling protein,2
CELL ADHESION/CYTOKINE,2
"transport protein, membrane protein",2
"transferase, blood clotting",2
LIGASE/LIGASE,2
CELL CYCLE/CHAPERONE,2
TRANSCRIPTION/ACTIVATOR,2
"Transferase, membrane protein/inhibitor",2
THYMIDYLATE KINASE,2
THYMIDINE KINASE,2
solute binding protein,2
POLYRIBONUCLEOTIDE TRANSFERASE,2
TRANSPORT PROTEIN/Transferase,2
Transferase/Transport Protein,2
DNA BINDING PROTEIN/VIRAL PROTEIN,2
Hormone receptor/antagonist,2
COMPLEX (INHIBITOR PROTEIN/KINASE),2
COMPLEX (GROWTH FACTOR/GROWTH FACTOR),2
VASODILATOR,2
NUCLEOTIDYLTRANSFERASE (DNA-BINDING),2
INSULIN-LIKE BRAIN-SECRETORY PEPTIDE,2
Oncoprotein/Immune System,2
ALCOHOL DEHYDROGENASE,2
HUMAN PROGESTERONE RECEPTOR,2
ANDROGEN RECEPTOR,2
HORMONE INHIBITOR,2
"Transferase/Inhhibitor, Hydrolase/Inhhibitor",2
OXIDOREDUCTASE/TRANSPORT PROTEIN,2
DNA BINDING PROTEIN/transcription,2
Lyase/BIOSYNTHETIC PROTEIN,2
THIAMINE BINDING PROTEIN/INHIBITOR,2
Transferase/Nuclear Protein,2
GTP binding/Actin binding Proteins,2
TRANSFERASE/Substrate,2
RUSTICYANIN,2
ANION TRANSPORT,2
PLASIMIN AND FIBRONECTIN-BINDING PROTEIN,2
PROTEIN BINDING/Hydrolase,2
ACTIVE-SITE CARBOXYMETHYLATION,2
"CELL CYCLE, GENE REGULATION",2
HORMONE RECEPTOR/CELL ADHESION,2
COMPLEX (ENDONUCLEASE/INHIBITOR),2
SIGNALING PROTEIN/TRANSFERASE/INHIBITOR,2
UNKNOWN FUNCTION/Ligase,2
pheromone-binding protein,2
"METAL TRANSPORT, TRANSPORT PROTEIN",2
STRUCTURAL PROTEIN/TRANSCRIPTION,2
translation/antibiotic,2
Membrane Protein/Agonist,2
SIGNALING PROTEIN/MOTOR PROTEIN,2
LIPID BINDING PROTEIN/ HYDRORASE,2
"Signaling Protein, De Novo Protein",2
SHORT NEUROTOXIN,2
OXIDOREDUCTASE(OXYGEN RECEPTOR),2
HYDROLASE(GLUCANASE),2
"TRANSFERASE, LIGASE",2
"LIGASE, DNA binding protein",2
Chaperone/Chaperone Effector,2
MITOCHONDRIAL ELECTRON TRANSPORT,2
PHOSPHOPANTETHEINE BINDING PROTEIN,2
"protein binding, immune system",2
VENOM(POTASSIUM CHANNEL INHIBITOR),2
CYSTEINE PROTEASE,2
"Isomerase, hydrolase",2
Ligase/ligase inhibitor,2
"ENDOCYTOSIS, LIPID BINDING PROTEIN",2
Viral protein/inhibitor,2
PHOSPHOTRANSFERASE/TRANSFERASE INHIBITOR,2
CALCIUM-BINDING/TRANSFERASE,2
HORMONE PRECURSOR,2
"IMMUNE SYSTEM PROTEIN, RECEPTOR",2
DE NOVO PROTEIN/protein binding,2
CELL ADHESION/inhibitor,2
OXIDOREDUCTASE (CH-OH(D)-NAD(A)),2
CHAPERONE/NUCLEAR PROTEIN,2
LIGASE/PRODUCT,2
"HORMONE/GROWTH FACTOR RECEPTOR, LYASE",2
Transcription/Transferase/Antibiotic,2
Oxidoreductase/protein binding,2
Structural protein Regulation,2
HYDROLASE-TRANSPEPTIDASE,2
Immune system/INHIBITOR,2
CALMODULIN,2
CELL ADHESION/CELL INVASION,2
ASPARTYL PROTEINASE,2
COMPLEX (CALCIUM-BINDING/TRANSFERASE),2
HISTIDINE BIOSYNTHESIS,2
APOPTOSIS/SIGNALLING PROTEIN,2
CELLULOSE BINDING PROTEIN,2
TRANSLATION/ANTIBIOTIC,2
CREATINASE,2
CALMODULIN-PEPTIDE COMPLEX,2
LYASE(DECARBOXYLASE),2
ELECTRON TRANSFER PROTEIN,2
Odorant-Binding Protein,2
PEPTIDE BINDING PROTEIN/TOXIN,2
SIGNALING PROTEIN/transferase,2
"TOXIN, TRANSFERASE/TRANSFERASE INHIBITOR",2
TRANSCRIPTION/Antagonist,2
"motor protein, calcium binding protein",2
HORMONE RECEPTOR/HORMONE RECEPTOR,2
TRANSCRIPTION/Peptide,2
ANTI-HIV PROTEIN,2
ADP BINDING PROTEIN,2
SCAFFOLD PROTEIN,2
BMP Binding Protein,2
"HYDROLASE, CARBOHYDRATE",2
NUCLEAR PROTEIN/METAL BINDING PROTEIN,2
ANTIBODY ENGINEERING,2
PROTEINASE INHIBITOR (CYSTEINE),2
SIGNALING PROTEIN/ANTIMICROBIAL PROTEIN,2
"Structural protein, Immune system",2
chaperone/chaperone inhibitor,2
oxidoreductase/oxidoreducatse inhibitor,2
DNA MISMATCH REPAIR,2
ALGINATE-BINDING PROTEIN,2
MOLECULAR EVOLUTION,2
MEMBRANE,2
CLATHRIN,2
GROWTH FACTOR/NEUROTROPHIN-4,2
CONTRACTILE,2
CYTOKINE/CYTOKINE INHIBITOR,2
Lactoferrin-binding protein,2
RIFAMYCIN BIOSYNTHESIS (RIFD GENE),2
COLLAGEN FACIT XIV,2
TRANSCRIPTION/TRANSCRIPTION Inhibitor,2
SURFACE PROTEIN,2
VASOCONSTRICTOR,2
GLYCOLYSIS,2
"hydrolase inhibitor, toxin",2
"HYDROLASE INHIBITOR, TOXIN",2
Transferase/Antiobiotic,2
"METAL BINDING PROTEIN, DE NOVO DESIGN",2
OXIDOREDUCTASE (CH-OH(D)-CYTOCHROME(A)),2
OXIDOREDUCTASE/FLUORESCENT PROTEIN,2
Apoptosis/Cell Adhesion,2
Heme-Binding Protein,2
PROTEIN BINDING/CELL ADHESION,2
penicillin-binding protein,2
ligase/cell cycle,2
SERINE/THREONINE PROTEIN KINASE,2
TRANSCRIPTION/antagonist,2
HYDRLOASE INHIBITOR,2
HYDROLASE/HYDROLASE INHIBITOR COMPLEX,2
HYDROLASE\INHIBITOR,2
MEMBRANE PROTEIN/NUCLEAR PROTEIN,2
TRANSACTIVATION REGION,2
RNA BINDING PROTEIN/METAL BINDING PROTEIN,2
COMPLEX (ENZYME/INHIBITOR),2
Transferrin-binding protein,2
Unknown protein,2
MUTAGENESIS PROTEIN,2
Hormone/Hormone receptor,2
MACROGLOBULIN,2
Growth Factor,2
COMPLEX (ADAPTOR PROTEIN/PEPTIDE),2
CYTOKINE/CYTOKINE,2
TRANSLATION/REGULATION,2
"VIRAL PROTEIN, STRUCTURAL PROTEIN",2
DNA Binding Protein/Ligase,2
IMMUNE SYSTEM/LIGASE,2
VIRUS/VIRAL PROTEIN RECEPTOR,2
ACTIVATION DOMAIN,2
"STRUCTURAL PROTEIN, LYASE",2
CALCIUM BINDING/STRUCTURAL PROTEIN,2
CHOLESTEROL-BINDING PROTEIN,2
heparin binding protein,2
HEPARIN-BINDING DOMAIN,2
Hydrolase/Immune System,2
LIGASE/TRANSLATION,2
COMPLEX (KINASE/ANTI-ONCOGENE),2
Fatty acid binding protein/Hydrolase,2
INSECT IMMUNITY,2
PHOSPHORYL TRANSFER,2
COLLAGEN BINDING PROTEIN,2
DNA REPLICATION/ISOMERASE,2
TRANSPORT PROTEIN/SIDEROPHORE,2
DNA BINDING PROTEIN/PROTEIN,2
TRANSLATION/OXIDOREDUCTASE,2
FUCOSE-BINDING PROTEIN,2
HYDROLASE/HYDROLASE INBHITOR,2
Transport Protein/RNA Binding Protein,2
TRANSPORT PROTEIN/ANTIBIOTIC,2
COMPLEX(ONCOGENE PROTEIN/EXCHANGE FACTOR),2
NUCLEAR PROTEIN RECEPTOR,2
THREONINE BIOSYNTHESIS,2
transferase/Apoptosis,2
chromatin-binding protein,2
TRANSFORMING PROTEIN,2
ion transport/protein binding,2
VIRAL PROTEIN/RNA BINDING PROTEIN,2
INFLUENZA VIRUS,2
AIDS,2
PANCREATIC HORMONE,2
TRANSFERASE/CELL CYCLE/INHIBITOR,2
RECEPTOR/HYDROLASE,2
EUKARYOTIC TRANSCRIPTIONAL REGULATION,2
IRON-SULFUR-BINDING PROTEIN,2
CELLULOSE DOCKING DOMAIN,2
COMPLEX (METHYLTRANSFERASE/PEPTIDE),2
EXCHANGE FACTOR,2
TRANSFERASE-HYDROLASE,2
HEMATOPOIETIC CELL RECEPTOR,2
RNA BINDING PROTEIN/HYDROLASE,2
HYDROLASE/RNA,2
HEPARIN-BINDING PROTEIN,2
PEPTIDE,2
MOTOR PROTEIN/METAL-BINDNG PROTEIN,2
COMPLEX (CHEMOTAXIS/TRANSFERASE),2
"ANTI-HYPERTENSIVE, ANTI-VIRAL PROTEIN",2
MEMBRANE PROTEIN/MOTOR PROTEIN,2
FUNGAL TOXIC ELICITOR,2
"METAL BINDING PROTEIN, UNKNOWN FUNCTION",2
"Oxidoreductase, Membrane protein",2
HISTONE PROTEIN,2
CHAPERONE/ANTIGEN,2
"Apoptosis, transcription",2
TRANSPORT PROTEIN / PEPTIDE,2
SUGAR BINDING PROTEIN/LIGASE,2
"TOXIN, PROTEIN BINDING",2
HYDROLASE (ALKALINE PHOSPHATASE),2
Cell Cycle/Antitumor Protein,2
NUCLEAR PROTEIN/NUCLEAR PROTEIN,2
Metal-binding protein/nuclear Protein,2
HIV-INACTIVATING PROTEIN,2
DNA BINDING PROTEIN/STRUCTURAL GENOMICS,2
SPLICING/SIGNALING PROTEIN,2
"MEMBRANE PROTEIN, IMMUNE SYSTEM, TOXIN",2
SOS MUTAGENESIS,2
"OXIDOREDUCTASE(DIOXYGENASE, PEROXIDASE)",2
"PROTEIN TRANSPORT, CELL INVASION",2
HYDROLASE (ASPARTIC PROTEASE),2
"APOPTOSIS, TRANSLATION",2
ANTIOXIDANT,2
Membrane protein/TRANSPORT PROTEIN,2
Transferase/Oncoprotein,2
GLYCOSYLASE,2
GERMLINE ANTIBODY,2
HYDROLASE(ASPARTYL PROTEINASE),2
TYROSINE PHOSPHATASE,2
OXIDOREDUCTASE (NAD(A)),2
"SIGNALLING PROTEIN,LIGASE",2
ACARBOSE,2
SIGNALLING PROTEIN/Transferase,2
ZN BINDING PROTEIN,2
COMPLEX (PHOSPHOTRANSFERASE/RECEPTOR),2
CELL CYCLE/LIGASE,2
RECEPTOR INHIBITOR,2
HEMAGGLUTININ,2
HYDROLASE (ACTING ON CYCLIC AMIDES),2
STRUCTURAL PROTEIN/RECEPTOR,2
RECEPTOR/GLYCOPROTEIN COMPLEX,2
D-L PEPTIDE,2
THIAMIN BIOSYNTHESIS,2
Hydrolase/hydrolase INHIBITOR,2
CARBOXYSOME,2
"Ligase, TRANSCRIPTION",2
"Structural genomics, Hydrolase",2
PHOTOSYSTEM I,2
"Hydrolase, hydrolase inhibitor",2
STRUCTURAL PROTEIN/CELL INVASION,2
ALPHA-BETA STRUCTURE,2
membrane protein/oxidoreductase,2
NUCLEIC ACID RECOGNITION,2
VIRAL PROTEIN/PROTEASE,2
"METAL BINDING, STRUCTURAL PROTEIN",2
NUCLEAR TRANSPORT PROTEIN COMPLEX,2
HYDROLASE(ACID PROTEINASE ZYMOGEN),2
"RECOMBINATION,REPLICATION",2
CHAPERONE/OXIDOREDUCTASE,2
BIOSYNTHETIC PROTEIN/STRUCTURAL PROTEIN,2
AMYLOID,2
METAL TRANSPORT REGULATOR,2
COENZYME A BIOSYNTHESIS,2
"MOTOR PROTEIN,CELL CYCLE",2
phosphate-BINDING PROTEIN,2
"RECOMBINATION,HYDROLASE",2
"SIGNALING PROTEIN,APOPTOSIS/HYDROLASE",2
LIPID TRANSPORT/ENDOCYTOSIS/CHAPERONE,2
LYASE/PEPTIDE,2
"ENDOCYTOSIS, EXOCYTOSIS",2
"MEMBRANE PROTEIN, TRANSFERASE",2
SPASMOLYTIC PROTEIN,2
GENE REGULATION/protein binding,2
"Hydrolase, METAL BINDING PROTEIN",2
"CELL CYCLE, LIGAND BINDING PROTEIN",2
"SIGNALING PROTEIN, PROTEIN TRANSPORT",2
Signaling PROTEIN/Transferase,2
COMPLEX (BLOOD COAGULATION/PEPTIDE),2
Actin-binding protein,2
TYPE II RESTRICTION ENDONUCLEASE,2
"ENDOCYTOSIS/EXOCYTOSIS, MEMBRANE PROTEIN",2
Hydrolase inhibitor/Hydrolase,2
"TRANSFERASE, APOPTOSIS",2
SIGNALING PROTEIN/HORMONE,2
SIGNALING PROTEIN REGULATOR,2
